meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.059780985,0.064241268,0.032026913,0.015071489,0.09019344,0.075121951,12.86346184,274.4029055,0.893369417,0.491917766,0,0.059780985,0.084279106,0.015701668,0.275862069,0.0078125,0.0078125,0.0078125,0,0,male
0.06600874,0.067310029,0.040228735,0.019413867,0.09266619,0.073252323,22.42328536,634.6138545,0.892193242,0.513723843,0,0.06600874,0.107936554,0.015825915,0.25,0.009014423,0.0078125,0.0546875,0.046875,0.052631579,male
0.077315503,0.083829421,0.036718459,0.008701057,0.131908017,0.123206961,30.75715458,1024.927705,0.846389092,0.478904979,0,0.077315503,0.098706262,0.015655577,0.271186441,0.007990057,0.0078125,0.015625,0.0078125,0.046511628,male
0.151228092,0.072110587,0.158011187,0.096581728,0.207955252,0.111373524,1.232831276,4.17729621,0.963322462,0.727231799,0.083878185,0.151228092,0.088964849,0.017797553,0.25,0.201497396,0.0078125,0.5625,0.5546875,0.247119078,male
0.202812,0.060936,0.232316,0.137711,0.25673,0.119019,2.223248,7.696426,0.872304,0.284037,0.25673,0.202812,0.138274,0.049434,0.277457,0.734965,0.023438,2.765625,2.742188,0.123397,male
0.196096,0.062071,0.226297,0.131725,0.250953,0.119228,2.354321,8.955864,0.877976,0.316973,0.242509,0.196096,0.132837,0.047337,0.277457,1.519397,0.023438,9.703125,9.679688,0.115511,male
0.199341,0.060291,0.232137,0.135214,0.25208,0.116866,1.970356,6.835086,0.873595,0.272308,0.126439,0.199341,0.135528,0.047198,0.27907,0.818318,0.023438,5.015625,4.992188,0.083867,male
0.200986,0.062354,0.233126,0.13523,0.2576,0.12237,2.057471,7.166132,0.874187,0.273485,0.2688,0.200986,0.134594,0.049793,0.27907,1.21875,0.023438,11.27344,11.25,0.088935,male
0.127114906,0.087621363,0.118474374,0.039046484,0.214588796,0.175542312,1.403033506,5.16024621,0.962335498,0.746797716,0.010011919,0.127114906,0.198996664,0.024096386,0.25,0.4046875,0.0078125,2.984375,2.9765625,0.169666292,female
0.143132973,0.088920179,0.17550065,0.050247074,0.218829649,0.168582575,1.073172659,3.971286677,0.966102688,0.767904544,0.182782835,0.143132973,0.164229066,0.021592443,0.266666667,0.735839844,0.0078125,3.578125,3.5703125,0.285339168,female
0.110502983,0.080766112,0.093910355,0.033972179,0.188469861,0.154497682,1.446764978,5.109277023,0.962580214,0.732711489,0.006707883,0.110502983,0.186251707,0.044817927,0.258064516,0.732928241,0.0078125,4.703125,4.6953125,0.200883143,female
0.139254029,0.083980114,0.151920447,0.05690491,0.212479801,0.155574891,1.546572182,5.868483517,0.975813923,0.822670654,0.2091734,0.139254029,0.19357568,0.034482759,0.262295082,0.515625,0.0078125,3.921875,3.9140625,0.142429427,female
0.111153595,0.072246819,0.099960552,0.048323471,0.167061144,0.118737673,1.229987429,4.542822157,0.964882802,0.753861589,0.163747535,0.111153595,0.160143744,0.035164835,0.266666667,0.336292614,0.0078125,1.09375,1.0859375,0.292223364,female
0.222930326,0.031245051,0.222727273,0.207613636,0.241420455,0.033806818,2.391134719,8.461176724,0.821258978,0.159198046,0.212784091,0.222930326,0.165217783,0.047058824,0.277456647,1.957694575,0.2109375,9.7265625,9.515625,0.145822861,female
0.218169819,0.040306049,0.22,0.206122449,0.240408163,0.034285714,3.019389451,12.81342217,0.82691365,0.215681092,0.237959184,0.218169819,0.197124746,0.048144433,0.279069767,1.12549867,0.0234375,11.3203125,11.296875,0.080103228,female
0.223278784,0.042489377,0.231021672,0.206749226,0.24879257,0.042043344,1.768652159,6.143702656,0.859114873,0.222222104,0.234489164,0.223278784,0.192253889,0.049638056,0.279069767,1.042719415,0.2109375,12.0234375,11.8125,0.068722944,female
0.215388321,0.036483419,0.21522694,0.204978038,0.234904832,0.029926794,2.717173641,10.6224451,0.829633879,0.214976432,0.211537335,0.215388321,0.200699446,0.058608059,0.279069767,1.0359375,0.2109375,8.484375,8.2734375,0.055279075,female
0.225229966,0.036419903,0.230563166,0.214368341,0.245905632,0.031537291,2.142683456,7.154854494,0.841068765,0.222523693,0.234398782,0.225229966,0.174219187,0.047619048,0.275862069,1.311458333,0.0234375,9.3515625,9.328125,0.118151734,female
0.211237578,0.033338308,0.212121212,0.200550964,0.230247934,0.02969697,3.113291467,14.90100473,0.830429351,0.201214963,0.204407713,0.211237578,0.171062339,0.047524752,0.275862069,2.676988636,0.0234375,10.078125,10.0546875,0.180114757,female
0.227536743,0.039723897,0.233846154,0.204615385,0.258076923,0.053461538,1.339287733,3.605845819,0.860543109,0.197276059,0.261153846,0.227536743,0.181804161,0.047713718,0.279069767,1.158353365,0.0234375,9.7734375,9.75,0.069368132,female
0.227683168,0.033163319,0.236039604,0.205148515,0.24990099,0.044752475,1.866182072,5.819220018,0.841532604,0.160282962,0.242376238,0.227683168,0.181120641,0.048338369,0.271186441,1.258246528,0.0234375,11.8828125,11.859375,0.103982974,female
0.222548873,0.029793229,0.225298013,0.208609272,0.241059603,0.032450331,2.099660873,6.890958453,0.826618198,0.149222675,0.229006623,0.222548873,0.178897809,0.047761194,0.277456647,0.861328125,0.0234375,9.1875,9.1640625,0.097186701,female
0.214581896,0.032225084,0.217438692,0.201035422,0.231553134,0.030517711,2.033459756,6.30904843,0.843964714,0.199944349,0.197983651,0.214581896,0.175978154,0.047761194,0.271186441,0.984809028,0.2109375,6.4453125,6.234375,0.152111047,female
